participantRole,condition,fairness.new.,fairness,guesstimate.new._1,feedback..new.,Q94,Q95,Q129,Q96,Q128,Q131,timeOutLog,chatLog
Player4-Republican,3,2,4,8,"This is an interesting node, I suppose the more cynical observation would be that some would choose to give themselves the shortest/easiest task.",Measuring political affiliation and some component similar to altruism.,2,The timing of selection and the brief duration of the chat.,2,Intuition more than a particular logical reason.,NA,OK -- no issues," *** Player4-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: Yoo
<br>Player3-Democrat: Hey
<br>Player2-Republican: I overestimated 
<br>Player4-Republican: Interesting that Political Affiliations are mentioned - I'm assuming this study isn't measuring our ability to count dots :)
<br>Player2-Republican: yeah
<br>Player4-Republican: It feels like a Henry Taijfel - group theory experiment
<br>Player3-Democrat: I underestimated 
<br>Player1-Democrat: Are you real player4? :o
<br> *** Player4-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player3-Democrat,2,3,5,10,NA,How people look out for themselves,2,Because the chat replies were long and to quickly sent.,2,The people running this wouldn't allow it sense I don't believe I'm currently dealing with real people.,NA,OK -- no issues," *** Player4-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: Yoo
<br>Player3-Democrat: Hey
<br>Player2-Republican: I overestimated 
<br>Player4-Republican: Interesting that Political Affiliations are mentioned - I'm assuming this study isn't measuring our ability to count dots :)
<br>Player2-Republican: yeah
<br>Player4-Republican: It feels like a Henry Taijfel - group theory experiment
<br>Player3-Democrat: I underestimated 
<br>Player1-Democrat: Are you real player4? :o
<br> *** Player4-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br>"
Player4-Republican,4,3,3,10,n/a,If we believe someone of a different political affiliation is competent or not based on their actions,2,"in the section where I was asked to talk to my teammates, their responses seemed robotic and pre-typed",2,the person who was a democrat on chosen and that seemed fishy to me,n/a,*** Warning: Participant Player3-Democrat timed out in stage 1. Survey terminated.," *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player1-Democrat: I suck at estimating
<br>Player1-Democrat: The screen went so fast.
<br>Player2-Republican: Yes it was hard to determine number of dots, the big dots distracted me
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: it wasn't so bad for me
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,3,1,5,9,NA,Something to do with perception of fairness?,2,Their responses came off as prescripted. They did not respond to my questions in a meaningful manner.,2,"After the interactions in the chat, I did not believe I was actually participating with real people.",NA,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: How'd you guess your number?
<br>Player4-Republican: It was hard   just did a guess
<br>Player2-Republican: Hi everyone!  I found the dot guessing task to be a little harder than I would've thought!
<br>Player1-Democrat: Right, but did you have any method behind? 
<br>Player3-Democrat: Estimating the number of dots was very difficult.
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player2-Republican,1,NA,NA,NA,NA,Is about human decision,1,NA,1,NA,NA,OK -- no issues," *** Player4-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: Yoo
<br>Player3-Democrat: Hey
<br>Player2-Republican: I overestimated 
<br>Player4-Republican: Interesting that Political Affiliations are mentioned - I'm assuming this study isn't measuring our ability to count dots :)
<br>Player2-Republican: yeah
<br>Player4-Republican: It feels like a Henry Taijfel - group theory experiment
<br>Player3-Democrat: I underestimated 
<br>Player1-Democrat: Are you real player4? :o
<br> *** Player4-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br>"
Player2-Republican,3,1,3,9,no,I think the purpose of this experiment was done to study how people from different political parties do on different cognitive tasks.,1,NA,1,NA,no,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player3-Democrat: Y'all over or underestimators? Lol
<br>Player2-Republican: What do you think about being an underestimator?
<br>Player4-Republican: It was hard to guess the amount! I overestimated!
<br>Player1-Democrat: Hi, y'all. How is everyone? I'm an overestimator.
<br>Player2-Republican: I am underministator.
<br>Player3-Democrat: I was an under estimator.
<br>"
Player4-Republican,4,3,2,10,NA,Fairness with tasks,1,NA,1,NA,no,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player1-Democrat: lol
<br>Player3-Democrat: hey
<br>Player2-Republican: I just guessed
<br>Player3-Democrat: me too
<br>Player4-Republican: hiim an over i guessed 150 u guys?
<br>Player2-Republican: I guessed 100
<br>Player1-Democrat: Nice names
<br> *** Player1-Democrat has left the chat ***
<br>Player3-Democrat: I under estimated
<br> *** Player2-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,2,1,6,10,I just want to say that that's my luck. I would get the hard task. If I say to turn left we were supposed to turn right it never fails.,I have no idea.,1,NA,1,NA,No. Thanks. I do want to know what this was all about.,*** Warning: Participant Player3-Democrat timed out in stage 1. Survey terminated.," *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player1-Democrat: I suck at estimating
<br>Player1-Democrat: The screen went so fast.
<br>Player2-Republican: Yes it was hard to determine number of dots, the big dots distracted me
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: it wasn't so bad for me
<br> *** Player1-Democrat has left the chat ***
<br>"
Player1-Democrat,3,1,5,8,"No other feedback, lets see what I get :o","Hmm, maybe it was to see if the opinion of person who got to assign changed based on their political leaning?",1,NA,1,NA,"No, but I was anticipating the assignment lol. This works tho :)",OK -- no issues," *** Player4-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: Yoo
<br>Player3-Democrat: Hey
<br>Player2-Republican: I overestimated 
<br>Player4-Republican: Interesting that Political Affiliations are mentioned - I'm assuming this study isn't measuring our ability to count dots :)
<br>Player2-Republican: yeah
<br>Player4-Republican: It feels like a Henry Taijfel - group theory experiment
<br>Player3-Democrat: I underestimated 
<br>Player1-Democrat: Are you real player4? :o
<br> *** Player4-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player3-Democrat,4,1,3,9,I do not blame the Republican for choosing a Green Task; I probably would have made the same choice.,I think it was about how members of one political party would feel about the choice made by a member of the other political party.,1,NA,1,NA,I liked the tasks.,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: How'd you guess your number?
<br>Player4-Republican: It was hard   just did a guess
<br>Player2-Republican: Hi everyone!  I found the dot guessing task to be a little harder than I would've thought!
<br>Player1-Democrat: Right, but did you have any method behind? 
<br>Player3-Democrat: Estimating the number of dots was very difficult.
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,4,3,4,7,NA,"How people view differences in choosing tasks, somehow related to political affiliation",1,NA,2,"Seemed too predictable for the assumed hypothesis that people would assign themselves the ""easier"" task (however easy is relative because some people may feel they perform better on the red task style questions",No thank you,*** Warning: Participant Player4-Republican timed out in stage 1. Survey terminated.," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player1-Democrat: It was hard to guess the number of dots
<br>Player3-Democrat: it was somewhat hard to determine the number of dots
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player2-Republican,1,NA,NA,NA,NA,"I am really not sure what the purpose was but, I think it might possibly have something to do with how participants assign roles when they are interacting with an actual live chat with the other participants.",1,NA,1,NA,"Yes, I really enjoyed participating in this study!",OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player1-Democrat: How'd you guess your number?
<br>Player4-Republican: It was hard   just did a guess
<br>Player2-Republican: Hi everyone!  I found the dot guessing task to be a little harder than I would've thought!
<br>Player1-Democrat: Right, but did you have any method behind? 
<br>Player3-Democrat: Estimating the number of dots was very difficult.
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player3-Democrat,3,3,2,10,NA,how likely people with the same views will assign others with the same views the easier task,2,"it took too long for the""person"" to begin talking",2,"No, I think the tasks were predetermined",NA,*** Warning: Participant Player4-Republican timed out in stage 1. Survey terminated.," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player1-Democrat: It was hard to guess the number of dots
<br>Player3-Democrat: it was somewhat hard to determine the number of dots
<br> *** Player3-Democrat has left the chat ***
<br>"
Player2-Republican,1,NA,NA,NA,NA,Influence on Choices in regard to group identification,1,NA,4,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player4-Republican: hello folks!
<br>Player3-Democrat: Hi all!
<br>Player1-Democrat: Hello!\
<br>Player2-Republican: Hello, underestimator here.
<br>Player4-Republican: I overestimated the dots
<br>Player1-Democrat: Overestimater here. 
<br>Player3-Democrat: So dot thing, that was fun, I just took the best guess I had and hi I underestimated the dots haha
<br>Player2-Republican: I said 80, terrible at such things.
<br>Player1-Democrat: Yeah I just did my best guess
<br>Player4-Republican: what was the number of dots u guys estimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player3-Democrat,1,NA,NA,NA,NA,To see how people interact and also look at political parties as to how they assign things.,1,NA,4,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player4-Republican: hello folks!
<br>Player3-Democrat: Hi all!
<br>Player1-Democrat: Hello!\
<br>Player2-Republican: Hello, underestimator here.
<br>Player4-Republican: I overestimated the dots
<br>Player1-Democrat: Overestimater here. 
<br>Player3-Democrat: So dot thing, that was fun, I just took the best guess I had and hi I underestimated the dots haha
<br>Player2-Republican: I said 80, terrible at such things.
<br>Player1-Democrat: Yeah I just did my best guess
<br>Player4-Republican: what was the number of dots u guys estimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player3-Democrat,4,1,3,10,no!,I think it had to do with political affiliation and how likely we were to assign ourselves the easier tasks.,1,NA,1,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player3-Democrat: The dots flashed by so quick
<br>Player1-Democrat: Sooo not sure much we've got to talk about. Pretty quick task
<br>Player2-Republican: The picture i was shown had too many to count in the time allowed
<br>Player4-Republican: I underestimatated the number of dots because I think I was drawn to the larger dots
<br>Player2-Republican: I also underestimated the dots
<br>Player3-Democrat: I tried to look at the smaller dots so I overestimated
<br> *** Player3-Democrat has left the chat ***
<br>"
Player3-Democrat,1,NA,NA,NA,NA,To see if others would assign themselves easier tasks at the expense of another,1,NA,2,I felt it was apart of the experiment.,No,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player3-Democrat: Hello, all
<br>Player2-Republican: so guess I am an overestimator
<br>Player1-Democrat: Hello
<br>Player2-Republican: hello
<br>Player3-Democrat: I am, too
<br>Player1-Democrat: I am also an overestimator
<br>Player3-Democrat: I would say it was hard to figure out in such a short time
<br>Player2-Republican: well quess we all think big
<br>Player1-Democrat: when looking at the dots it felt like there were any there
<br>Player1-Democrat: I agree it was difficult
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player2-Republican,2,2,3,9,NA,see how republicans and democrats interact,1,NA,1,NA,NA,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player2-Republican: hello
<br>Player1-Democrat: Hi everyone. How was your experience estimating the dots?
<br>Player3-Democrat: I did find it hard to estimate the number of dots since they were shown so quickly
<br>Player2-Republican: Not bad, didn't realize I underestimated when I thought it was the other way around
<br>Player1-Democrat: I found it hard, too. Apparently I underestimated the total number.
<br>Player4-Republican: The varying sizes also caused me a bit of challenge
<br>Player2-Republican: Interesting 
<br>Player3-Democrat: I overestimated
<br> *** Player1-Democrat has left the chat ***
<br>"
Player1-Democrat,2,1,2,9,NA,I'm not sure.,1,NA,1,NA,NA,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player2-Republican: hey guys
<br>Player4-Republican: hiya
<br>Player1-Democrat: hey!
<br>Player3-Democrat: Those sure were some dots, eh?
<br>Player2-Republican: did ya'll like a second to count them?
<br>Player4-Republican: no kidding. and different sizes too!
<br>Player1-Democrat: I didn't even count them I just like guessed a random number
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player2-Republican,3,2,3,10,no,Fairness,2,Because it was very generic and I went first.,2,Computer generated,No comment,OK -- no issues," *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello
<br>Player1-Democrat: Hi
<br>Player3-Democrat: I thought I underestimated the dots but I did not :)
<br>Player4-Republican: Hey all
<br>Player1-Democrat: I thought it was hard to estimate the dots in only a few seconds. I guess I'm an underestimater. 
<br>Player2-Republican: I underestimated not sure how many there actually were
<br> *** Player2-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player4-Republican,4,2,4,10,none,no idea,1,NA,2,just a hunch,none,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player2-Republican: hey guys
<br>Player4-Republican: hiya
<br>Player1-Democrat: hey!
<br>Player3-Democrat: Those sure were some dots, eh?
<br>Player2-Republican: did ya'll like a second to count them?
<br>Player4-Republican: no kidding. and different sizes too!
<br>Player1-Democrat: I didn't even count them I just like guessed a random number
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player4-Republican,1,NA,NA,NA,NA,Unsure,2,The chat was too quick,4,NA,NA,OK -- no issues," *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello
<br>Player1-Democrat: Hi
<br>Player3-Democrat: I thought I underestimated the dots but I did not :)
<br>Player4-Republican: Hey all
<br>Player1-Democrat: I thought it was hard to estimate the dots in only a few seconds. I guess I'm an underestimater. 
<br>Player2-Republican: I underestimated not sure how many there actually were
<br> *** Player2-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player4-Republican,1,NA,NA,NA,NA,unsure,2,The responses seemed fake,2,It seemed like an experiment,NA,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player2-Republican: hello
<br>Player1-Democrat: Hi everyone. How was your experience estimating the dots?
<br>Player3-Democrat: I did find it hard to estimate the number of dots since they were shown so quickly
<br>Player2-Republican: Not bad, didn't realize I underestimated when I thought it was the other way around
<br>Player1-Democrat: I found it hard, too. Apparently I underestimated the total number.
<br>Player4-Republican: The varying sizes also caused me a bit of challenge
<br>Player2-Republican: Interesting 
<br>Player3-Democrat: I overestimated
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br>"
Player2-Republican,3,2,3,10,no,I have no idea but it wasn't boring.,1,NA,1,NA,no. Was I all alone here?,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player2-Republican: hey guys
<br>Player4-Republican: hiya
<br>Player1-Democrat: hey!
<br>Player3-Democrat: Those sure were some dots, eh?
<br>Player2-Republican: did ya'll like a second to count them?
<br>Player4-Republican: no kidding. and different sizes too!
<br>Player1-Democrat: I didn't even count them I just like guessed a random number
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,3,1,6,9,"Getting paid for 20 minutes, regardless of task, doesn't show if people were in the study for 20 minutes, so it could be obvious who did what task, making it not all that blind.",To see what people think of others making decisions and whether they were fair.,1,NA,1,NA,n/a,OK -- no issues," *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello
<br>Player1-Democrat: Hi
<br>Player3-Democrat: I thought I underestimated the dots but I did not :)
<br>Player4-Republican: Hey all
<br>Player1-Democrat: I thought it was hard to estimate the dots in only a few seconds. I guess I'm an underestimater. 
<br>Player2-Republican: I underestimated not sure how many there actually were
<br> *** Player2-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player2-Republican,4,1,2,9,NA,I am honestly not sure at all,1,NA,1,NA,n/a,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br>Player3-Democrat: Hello, all
<br>Player2-Republican: so guess I am an overestimator
<br>Player1-Democrat: Hello
<br>Player2-Republican: hello
<br>Player3-Democrat: I am, too
<br>Player1-Democrat: I am also an overestimator
<br>Player3-Democrat: I would say it was hard to figure out in such a short time
<br>Player2-Republican: well quess we all think big
<br>Player1-Democrat: when looking at the dots it felt like there were any there
<br>Player1-Democrat: I agree it was difficult
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player4-Republican,1,NA,NA,NA,NA,I don't know but I am guessing it has to do with political designations and how people choose to act?,1,NA,1,NA,Not really. Maybe more time for the chat would be nice.,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player4-Republican: hello folks!
<br>Player3-Democrat: Hi all!
<br>Player1-Democrat: Hello!\
<br>Player2-Republican: Hello, underestimator here.
<br>Player4-Republican: I overestimated the dots
<br>Player1-Democrat: Overestimater here. 
<br>Player3-Democrat: So dot thing, that was fun, I just took the best guess I had and hi I underestimated the dots haha
<br>Player2-Republican: I said 80, terrible at such things.
<br>Player1-Democrat: Yeah I just did my best guess
<br>Player4-Republican: what was the number of dots u guys estimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player3-Democrat,4,1,3,10,I do not have any additional feedback.,How one perceives a group and or member of a group,1,NA,1,NA,Interesting study! Everything worked great and was clear. Thank you and good luck!,OK -- no issues," *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello
<br>Player1-Democrat: Hi
<br>Player3-Democrat: I thought I underestimated the dots but I did not :)
<br>Player4-Republican: Hey all
<br>Player1-Democrat: I thought it was hard to estimate the dots in only a few seconds. I guess I'm an underestimater. 
<br>Player2-Republican: I underestimated not sure how many there actually were
<br> *** Player2-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player4-Republican,4,1,6,2,I think whether the person was democrat or republican it would be a fair process,How we feel about the decisions that are made by democrats,1,NA,1,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player3-Democrat: The dots flashed by so quick
<br>Player1-Democrat: Sooo not sure much we've got to talk about. Pretty quick task
<br>Player2-Republican: The picture i was shown had too many to count in the time allowed
<br>Player4-Republican: I underestimatated the number of dots because I think I was drawn to the larger dots
<br>Player2-Republican: I also underestimated the dots
<br>Player3-Democrat: I tried to look at the smaller dots so I overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,1,NA,NA,NA,NA,to see how people treat random others,2,It seemed too robotic and I felt like I had no real responses,4,NA,NA,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player3-Democrat: hi guys
<br>Player1-Democrat: hello!
<br>Player4-Republican: Howdy... is this the island for broken toys (Overestimators)?
<br>Player1-Democrat: I was an underestimator for sure
<br>Player4-Republican: I guessed 46..I'm so ashamed.
<br>"
Player1-Democrat,2,1,2,10,I think it would be fairer for researchers to randomly assign participants to red or green tasks. Then one person wouldn't have control and be able to selfishly assign themselves to the easier task at the expense of everyone else participating.,To assess how people react in group settings.,1,NA,1,NA,NA,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player2-Republican: hello
<br>Player1-Democrat: Hi everyone. How was your experience estimating the dots?
<br>Player3-Democrat: I did find it hard to estimate the number of dots since they were shown so quickly
<br>Player2-Republican: Not bad, didn't realize I underestimated when I thought it was the other way around
<br>Player1-Democrat: I found it hard, too. Apparently I underestimated the total number.
<br>Player4-Republican: The varying sizes also caused me a bit of challenge
<br>Player2-Republican: Interesting 
<br>Player3-Democrat: I overestimated
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player1-Democrat,2,3,4,8,Seems like ai could do it and have it actually be random/blind,"Really not sure, sorry",2,People don't actually talk like that....or that much in stuff like this,2,Didn't believe there were realy people to begin with,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player3-Democrat: The dots flashed by so quick
<br>Player1-Democrat: Sooo not sure much we've got to talk about. Pretty quick task
<br>Player2-Republican: The picture i was shown had too many to count in the time allowed
<br>Player4-Republican: I underestimatated the number of dots because I think I was drawn to the larger dots
<br>Player2-Republican: I also underestimated the dots
<br>Player3-Democrat: I tried to look at the smaller dots so I overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,3,2,3,9,Always random would be better,"To see what some people feel like it is fair or not, maybe?",1,NA,2,I just thought it was kind of weird to leave something as important for someone else to pick. Too much uncertainty to relay in someone who's online somewhere.,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player4-Republican: hello folks!
<br>Player3-Democrat: Hi all!
<br>Player1-Democrat: Hello!\
<br>Player2-Republican: Hello, underestimator here.
<br>Player4-Republican: I overestimated the dots
<br>Player1-Democrat: Overestimater here. 
<br>Player3-Democrat: So dot thing, that was fun, I just took the best guess I had and hi I underestimated the dots haha
<br>Player2-Republican: I said 80, terrible at such things.
<br>Player1-Democrat: Yeah I just did my best guess
<br>Player4-Republican: what was the number of dots u guys estimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player3-Democrat,2,2,5,9,no,To see how political affiliations would shape our perceptions of fairness,1,NA,1,NA,NA,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player2-Republican: hello
<br>Player1-Democrat: Hi everyone. How was your experience estimating the dots?
<br>Player3-Democrat: I did find it hard to estimate the number of dots since they were shown so quickly
<br>Player2-Republican: Not bad, didn't realize I underestimated when I thought it was the other way around
<br>Player1-Democrat: I found it hard, too. Apparently I underestimated the total number.
<br>Player4-Republican: The varying sizes also caused me a bit of challenge
<br>Player2-Republican: Interesting 
<br>Player3-Democrat: I overestimated
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player2-Republican,3,3,4,10,n/a,To see if we were more partial to the person that we believed to be the same as our party,2,Seemed like it could have been a computer or AI,2,Because I did not believe there were other people,n/a,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player3-Democrat: The dots flashed by so quick
<br>Player1-Democrat: Sooo not sure much we've got to talk about. Pretty quick task
<br>Player2-Republican: The picture i was shown had too many to count in the time allowed
<br>Player4-Republican: I underestimatated the number of dots because I think I was drawn to the larger dots
<br>Player2-Republican: I also underestimated the dots
<br>Player3-Democrat: I tried to look at the smaller dots so I overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
